movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,star,votes,gross(in $),normalized_rating
tt2527560,Quito 2023,2013,TV-14,90,Sci-Fi,5.1,"Quito 2023 is a thriller/Sci-Fi feature film that focuses on the Ecuadorian capital, some years from now. After several internal political problems, a coup has left the country under ...                See full summary »","César Izurieta, 
Juan Fernando Moscoso","Silvio Villagómez, 
Jose Luís Vergara, 
Enrique Carvajal, 
Elvira Durango",67.0,0.0,0.51
tt0155593,Centurion Force,1998,Unknown,86,Sci-Fi,3.4,Add a Plot,Troy Cook,"John Savage, 
Jennifer Barker, 
Shaun T. Benjamin, 
Mara Bradley",50.0,0.0,0.33999999999999997
tt2084805,Chikyû bôei Girls P9,2011,Unknown,0,Sci-Fi,0.0,Add a Plot,Minoru Kawasaki,"Aika, 
Yui Asakura, 
Bin Furuya, 
Moto Fuyuki",0.0,0.0,0.0
tt19631640,Manipulations,0,Unknown,0,Sci-Fi,0.0,Add a Plot,Paolo Guglielmotti,"Catherine Cusack, 
Carly-Sophia Davies",0.0,0.0,0.0
tt1226277,Zero-G,0,Unknown,0,Sci-Fi,0.0,An unprecedented attack on American soil creates a state of zero-gravity.,Unknown,Unknown,0.0,0.0,0.0
tt3361856,Audax,2014,Unknown,90,Sci-Fi,5.0,"A shamed ex-freighter captain takes one last shot at redemption, only to find he is a puppet for a grander scheme.",Andrew St Maur,"Vin Hawke, 
Alessandra Munez, 
Katie Burgess, 
James George Ford",43.0,0.0,0.5
tt0286876,Love Doll Report: An Adult Toy,1975,Unknown,72,Sci-Fi,5.3,Softcore Roman Porno film about a scientist who creates a female sex robot for lonely researchers in the Antarctic and becomes obsessed with his student who looks like her.,Chûsei Sone,"Maya Hiromi, 
Nobutaka Masutomi, 
Naomi Oka",10.0,0.0,0.53
tt0032782,Men with Steel Faces,1940,Passed,70,Sci-Fi,4.5,Re-edited feature version of serial The Phantom Empire (1935). Singer Gene Autry discovers a race of advanced humans living beneath the earth.,"Otto Brower, 
B. Reeves Eason","Gene Autry, 
Frankie Darro, 
Betsy King Ross, 
Smiley Burnette",158.0,0.0,0.45
tt0027338,The Macabre Trunk,1936,Unknown,79,Sci-Fi,5.7,A crazed scientist tries to keep his terminally ill wife alive by transfusing into her the blood of young women he murders.,Miguel Zacarías,"Ramón Pereda, 
René Cardona, 
Manuel Noriega, 
Esther Fernández",49.0,0.0,0.5700000000000001
tt1800307,Impulse Black,2011,Not Rated,52,Sci-Fi,6.1,"What do Riley Cole, Hitler, President Truman, Castro, and the person who shot Kennedy all have in common?",Bugs Moran,"Jordon Hodges, 
Emme Rylan, 
Robert Miano, 
Will Brunson",441.0,0.0,0.61
tt0336004,Baytekin - fezada çarpisanlar,1967,Unknown,75,Sci-Fi,5.4,Add a Plot,Sinasi Özonuk,"Hasan Demirtag, 
Derya Tanyeli, 
Sevgi Can, 
Güner Çelme",72.0,0.0,0.54
tt10495074,Iqro: My Universe,2019,Unknown,101,Sci-Fi,6.5,"Aqilla has aspirations to become an astronaut, Her grandfather, an astronomer, is a place where Aqilla learned a lot and asked questions. Aqilla's hobbies in outer space make her compete ...                See full summary »",Iqbal Alfajri,"Aisha Nurra Datau, 
Cok Simbara, 
Raihan Khan, 
Maudy Koesnaedi",14.0,0.0,0.65
tt9185340,Night of the Comet,0,Unknown,0,Sci-Fi,0.0,Add a Plot,Unknown,Unknown,0.0,0.0,0.0
tt15028942,12-kagetsu no Kai,2021,Unknown,82,Sci-Fi,0.0,"What would you do if an ""impossible thing"" was born between humanoids and humans? Kyoka, who works as a web director in Tokyo, gets a personal care humanoid (PCH) Kai. Kai learns various ...                See full summary »",Mutsumi Kameyama,"Ran Imai, 
Kosei Kudo, 
Ayaka Nakagôchi, 
Shino Natsume",0.0,0.0,0.0
tt3144712,Exclusion,2016,Unknown,0,Sci-Fi,0.0,An Alien planet has traveled across stars and is looming next to our own. The residents of this planet soon start a war to conquer Earth. The human civilization escapes to outer space with ...                See full summary »,Aku Hietikko,Aku Hietikko,0.0,0.0,0.0
tt14643414,The Lanterns: War of Lights,0,Unknown,0,Sci-Fi,0.0,"After thousands of years of being united, The Lanterns are divided by Atrocitus, a survivor from the Massacre of Sector 666, a terrible sin done by the Guardians many eons ago.",Ganesh Karumuri,"Ganesh Karumuri, 
Nick Owens, 
Parker Parnell, 
Leah Smith",0.0,0.0,0.0
tt3505110,Darker Than You Think,0,Unknown,133,Sci-Fi,0.0,Scientist. Sorcerer. Spy. How on earth does Jack Parsons find enough time to plan Armageddon? Magick.,Greg Beville,Cody Dermon,0.0,0.0,0.0
tt1712038,Project Genesis: Crossclub 2,2011,Unknown,70,Sci-Fi,2.9,Project Genesis: Crossclub 2.,"Oliver Krekel, 
Jochen Taubert","Thomas Kercmar, 
Martin Hentschel, 
Tanja Karius, 
Tasso Mintopoulos",73.0,0.0,0.29
tt12676000,51: After the Raid,2020,Unknown,0,Sci-Fi,0.0,"Olivia Saint-Cloud is a reporter for a new start up company. Seeking a big new story to take her to the top, she learns of Michael a ordinary American who seemingly kidnapped an alien from ...                See full summary »",Gregory M Pricoli,"Mecca Shabazz, 
Ariel Trochez, 
Marco Caviglia, 
David Dotterer",0.0,0.0,0.0
